code,population
aa,2119662
aa_DJ,387157
aa_ER,218923
aa_ET,1513581
ab,91952
ab_GE,87934
ab_TR,4018
abr,1467010
abr_GH,1467010
ace,3738363
ace_ID,3738363
ach,1600361
ach_UG,1600361
ada,880206
ada_GH,880206
ady,444583
ady_RU,124715
ady_TR,319868
aeb,10549080
aeb_TN,10549080
af,9318845
af_BW,6024
af_NA,1972552
af_ZA,7340268
agq,38843
agq_CM,38843
ak,11442678
ak_GH,11442678
aln,1430249
aln_XK,1430249
alt,19841
alt_RU,19841
am,35728475
am_ET,35677290
am_IL,51185
amo,18620
amo_NG,18620
an,26008
an_ES,26008
ann,0
ann_NG,0
aoz,720970
aoz_ID,720970
apc,39031473
apc_IL,1474831
apc_JO,7141596
apc_LB,5469610
apc_PS,4191886
apc_SY,16488640
apc_TR,4264910
ar,351664195
ar_AE,7793822
ar_BH,1309350
ar_CA,565411
ar_CM,108205
ar_CY,1266
ar_DJ,67291
ar_DZ,31799946
ar_EG,97876560
ar_EH,652271
ar_ER,297978
ar_GB,197283
ar_IL,1735096
ar_IQ,26433436
ar_IR,1698466
ar_JO,10820600
ar_KE,24622
ar_KM,558545
ar_KW,2993710
ar_LB,4703864
ar_LY,5098999
ar_MA,22048254
ar_ML,175980
ar_MR,3404658
ar_NE,47822
ar_NG,151959
ar_OM,3778520
ar_PS,4818260
ar_QA,2175311
ar_SA,34173500
ar_SD,27792576
ar_SO,3997414
ar_SS,2851524
ar_SY,15518720
ar_TD,2869158
ar_TJ,976
ar_TN,10549080
ar_TR,459298
ar_YE,22114456
arn,272802
arn_CL,272802
aro,104
aro_BO,104
arq,35667507
arq_DZ,35667507
ars,1025205
ars_SA,1025205
ary,30938679
ary_MA,30938679
arz,66639360
arz_EG,66639360
as,17239170
as_IN,17239170
asa,702633
asa_TZ,702633
ast,650205
ast_ES,650205
atj,6407
atj_CA,6407
av,552715
av_RU,552715
awa,25862923
awa_IN,25195710
awa_NP,667213
ay,2838620
ay_BO,2327980
ay_PE,510640
az,9690091
az_AM,0
az_AZ,9083162
az_Arab,21614414
az_Arab_IQ,699708
az_Arab_IR,20381592
az_Arab_TR,533113
az_Cyrl,1142175
az_Cyrl_AZ,1010374
az_Cyrl_RU,131801
az_TR,606929
ba,1842386
ba_RU,1842386
bal,8227887
bal_AE,229817
bal_IR,1698466
bal_OM,228577
bal_PK,6071026
ban,4806468
ban_ID,4806468
bap,454918
bap_NP,454918
bar,22043626
bar_AT,8416477
bar_DE,13627149
bas,332940
bas_CM,332940
bax,332940
bax_CM,332940
bbc,2456639
bbc_ID,2456639
bbj,388429
bbj_CM,388429
bci,3022921
bci_CI,3022921
be,10064517
be_BY,9477920
be_PL,222037
be_UA,364560
bej,2460326
bej_SD,2460326
bem,5402246
bem_ZM,5402246
bew,5607546
bew_ID,5607546
bez,995397
bez_TZ,995397
bfd,158146
bfd_CM,158146
bfq,305000
bfq_IN,305000
bft,502519
bft_IN,82217
bft_PK,420301
bfy,654423
bfy_IN,490653
bfy_NP,163770
bg,7878314
bg_BG,6966900
bg_GR,28639
bg_MD,316263
bg_RO,6816
bg_TR,344473
bg_UA,215222
bgc,15913080
bgc_IN,15913080
bgn,2037382
bgn_AF,230855
bgn_IR,475570
bgn_PK,1330955
bgx,377280
bgx_TR,377280
bhb,1591307
bhb_IN,1591307
bhi,1220002
bhi_IN,1220002
bho,32934797
bho_IN,30500070
bho_MU,372429
bho_NP,2062297
bi,268499
bi_VU,268499
bik,3275430
bik_PH,3275430
bin,1519598
bin_NG,1519598
bjj,7426104
bjj_IN,7426104
bjn,4010287
bjn_ID,4005390
bjn_MY,4897
bjt,95992
bjt_SN,95992
bkm,360685
bkm_CM,360685
bku,7970
bku_PH,7970
bla,4900
bla_CA,4900
blo,51506
